,irace-1114,irace-8321,irace-17830,irace-2348161,irace-2373604,irace-2394777,irace-2454947,irace-2469279,irace-4172462,irace-4187919
0,0.88,0.76,0.96,0.88,0.92,0.2,0.56,0.76,0.68,0.56
1,0.44,0.88,0.68,0.28,0.88,0.08,0.84,0.92,0.72,0.76
2,0.52,0.64,0.52,0.56,0.92,0.16,0.44,0.96,0.44,0.32
3,0.64,0.76,0.76,0.8,0.76,0.16,0.8,0.64,0.4,0.8
4,0.76,0.88,0.76,0.84,0.64,0.12,0.44,0.92,0.56,0.64
5,0.84,0.64,0.64,0.88,0.48,0.12,0.88,0.8,0.68,0.4
6,0.96,0.48,0.92,0.64,0.48,0.12,0.68,0.68,0.36,0.8
7,0.76,0.56,0.8,0.84,0.72,0.08,0.52,0.52,0.76,0.84
8,0.84,0.56,0.64,0.88,0.96,0.12,0.68,0.88,0.84,0.48
9,0.92,0.72,0.96,0.76,0.8,0.12,0.92,0.84,0.48,0.92
10,0.6,0.72,0.96,0.56,0.56,0.16,0.8,0.68,0.56,0.88
11,0.72,0.72,0.8,0.4,0.48,0.12,0.92,0.6,0.32,0.92
12,0.4,0.48,0.72,0.88,0.8,0.16,0.68,0.8,0.88,0.44
13,0.76,0.56,0.76,0.84,0.6,0.08,0.92,0.88,0.72,0.72
14,0.88,0.52,0.92,0.36,0.84,0.16,0.88,0.8,0.64,0.64
15,0.72,0.44,0.52,0.6,0.64,0.16,0.44,0.44,0.72,0.84
16,0.4,0.56,0.88,0.64,0.28,0.16,0.76,0.84,0.84,0.8
17,0.8,0.8,0.6,0.68,0.88,0.16,0.6,0.32,0.48,0.64
18,0.8,0.44,0.56,0.56,0.6,0.16,0.76,0.72,0.84,0.52
19,0.72,0.56,0.6,0.32,0.84,0.08,0.56,0.44,0.92,0.84
20,0.8,0.56,0.6,0.76,0.84,0.16,0.76,0.88,0.48,0.52
21,0.88,0.92,0.72,0.8,0.64,0.12,0.96,0.44,0.48,0.8
22,0.96,0.56,0.52,0.92,0.64,0.12,0.64,0.88,0.84,0.68
23,0.8,0.56,0.64,0.8,0.48,0.08,0.8,0.8,0.68,0.6
24,0.8,0.68,0.6,0.72,0.44,0.12,0.52,0.88,0.88,0.52
25,0.88,0.64,0.68,0.8,0.64,0.2,0.72,0.52,0.68,0.72
26,0.84,0.72,0.92,0.8,0.4,0.12,0.88,0.48,0.88,0.88
27,0.64,0.32,0.88,0.96,0.64,0.16,0.84,0.52,0.36,0.96
28,0.68,0.84,0.88,0.92,0.6,0.12,0.6,0.84,0.52,0.84
29,0.88,0.52,0.84,0.88,0.8,0.12,0.88,0.72,0.72,0.8
