,swarm_size_50_arena_600,swarm_size_50_arena_500,swarm_size_50_arena_400,swarm_size_50_arena_300,swarm_size_25_arena_600,swarm_size_25_arena_500,swarm_size_25_arena_400,swarm_size_25_arena_300,swarm_size_100_arena_600,swarm_size_100_arena_500,swarm_size_100_arena_400,swarm_size_100_arena_300
0,0.8,0.56,0.7,0.86,0.08,0.28,0.72,0.6,0.4,0.3,0.7,0.91
1,0.54,0.76,0.66,0.7,0.52,0.52,0.92,0.84,0.37,0.39,0.4,1.0
2,0.34,0.62,0.76,1.0,0.12,0.24,0.64,0.68,0.33,0.37,0.45,0.76
3,0.34,0.48,0.54,0.84,0.12,0.76,0.84,0.76,0.32,0.5,0.93,1.0
4,0.74,0.56,0.92,1.0,0.12,0.36,0.64,0.92,0.43,0.61,0.89,1.0
5,0.82,0.46,0.8,0.6,0.08,0.32,0.52,0.96,0.55,0.29,0.44,0.65
6,0.62,0.42,0.48,0.6,0.12,0.48,0.88,0.92,0.3,0.76,0.96,0.97
7,0.42,0.62,0.88,0.5,0.08,0.16,0.4,0.88,0.75,0.71,0.52,0.94
8,0.36,0.82,0.52,0.56,0.08,0.48,0.4,0.76,0.51,0.62,0.76,0.96
9,0.72,0.66,0.64,1.0,0.28,0.2,0.88,0.76,0.28,0.37,0.42,0.98
10,0.86,0.42,0.56,0.68,0.12,0.68,0.88,0.88,0.59,0.79,0.84,1.0
11,0.78,0.46,0.22,0.52,0.16,0.76,0.8,0.56,0.37,0.41,0.37,1.0
12,0.9,0.38,0.34,0.86,0.4,0.4,0.8,0.84,0.35,0.7,0.84,0.99
13,0.62,0.94,0.9,0.64,0.08,0.08,0.84,0.36,0.37,0.8,0.49,0.39
14,0.78,0.84,0.52,0.44,0.16,0.12,0.36,0.64,0.41,0.48,0.9,0.99
15,0.96,0.54,0.84,0.74,0.08,0.12,0.88,1.0,0.29,0.28,0.44,1.0
16,0.54,0.68,0.88,0.94,0.48,0.44,0.68,0.92,0.21,0.57,0.78,0.94
17,0.8,0.3,0.32,0.72,0.12,0.52,0.76,0.84,0.32,0.43,0.58,0.96
18,0.58,0.4,0.72,0.46,0.08,0.12,0.64,0.44,0.31,0.35,0.43,1.0
19,0.66,0.54,0.44,0.98,0.12,0.92,0.84,0.8,0.61,0.38,0.59,0.88
20,0.76,0.32,0.4,0.76,0.08,0.52,0.8,1.0,0.33,0.35,0.48,1.0
21,0.82,0.44,0.72,0.82,0.08,0.72,0.6,0.56,0.57,0.71,0.71,0.74
22,0.62,0.44,0.32,0.98,0.12,0.12,0.52,0.72,0.22,0.41,0.92,0.76
23,0.74,0.7,0.36,0.98,0.68,0.76,0.76,0.88,0.31,0.61,0.55,1.0
24,0.34,0.58,0.88,0.82,0.12,0.64,0.48,0.44,0.37,0.37,0.68,0.75
25,0.74,0.46,0.94,0.46,0.16,0.56,0.44,0.68,0.52,0.55,0.44,1.0
26,0.8,1.0,0.36,0.98,0.08,0.6,0.76,0.52,0.44,0.35,0.86,0.95
27,0.48,0.34,0.3,0.86,0.08,0.68,0.52,0.88,0.32,0.89,0.97,1.0
28,0.8,0.6,0.4,0.36,0.28,0.08,0.8,0.72,0.19,0.59,0.84,0.95
29,0.44,0.62,0.58,0.62,0.12,0.12,0.8,0.72,0.61,0.36,0.95,0.86
